arise_control_id,OECD Requirement,rationale
G.AC-01,Step 1: Embed RBC in Policies,Mandates executive accountability and budget allocation. This ensures that the OECD requirement to embed responsible business conduct into the enterprise culture is backed by formal leadership and financial resources.
G.GV.P-04,Step 1: Embed RBC in Policies,Establishes the foundational rules for AI use. This operationalizes the OECD mandate to communicate expectations clearly to all employees and business partners through enforceable internal governance.
I.IM-01,Step 2: Identify and Assess Adverse Impacts,Requires proactive evaluation of rights and safety risks before deployment. This technical gateway fulfills the OECD requirement to identify actual and potential harms across the full AI lifecycle.
I.AM-01,Step 2: Identify and Assess Adverse Impacts,Creates a master registry of all AI assets and dependencies. Visibility is the prerequisite for the OECD step of identifying where an enterprise is involved with a specific risk or adverse impact.
G.GV.A-05,Step 2: Identify and Assess Adverse Impacts,Mandates documentation of the Record of Decision when performance conflicts with ethics. This provides the audit trail required by OECD to prove that impacts were considered and weighed.
G.GV.C-03,Step 3: Cease Prevent and Mitigate,Defines the Human-on-the-loop and Human-in-command protocols. This provides the technical kill switch or intervention capability required by the OECD to stop or prevent adverse AI outputs.
P.AC.M-01,Step 3: Cease Prevent and Mitigate,Institutionalizes quantitative fairness testing and mitigation plans. This directly addresses the OECD call to mitigate discriminatory impacts by embedding safety measures into the engineering sprint.
P.AC.M-02,Step 3: Cease Prevent and Mitigate,Implements stress tests to detect performance decay or vulnerability. This ensures the technical integrity of the system meets the OECD requirement for preventing safety risks in high-consequence environments.
D.CM-01,Step 4: Track Implementation and Results,Provides real-time telemetry and performance drift detection. This satisfies the OECD mandate to monitor the effectiveness of risk mitigation over time using automated indicators rather than static reports.
V.TE-01,Step 4: Track Implementation and Results,Requires continuous Testing Evaluation Verification and Validation. This technical verification loop ensures that the OECD tracking phase is evidence-based and remains resilient against evolving risks.
G.GV.A-06,Step 5: Communicate How Impacts are Addressed,Mandates Model Cards and AI Fact Sheets. This operationalizes the OECD requirement to provide accessible and transparent information about AI system capabilities and risks to the public.
R.IC.E-01,Step 5: Communicate How Impacts are Addressed,Ensures formal notification to external stakeholders and regulators. This bridges the internal tracking with the OECD obligation to report on due diligence efforts and identified incidents.
V.CI-01,Step 6: Provide for or Cooperate in Remediation,Establishes anonymous and authenticated feedback routes for impacted parties. This satisfies the OECD requirement to provide grievance mechanisms for those negatively impacted by AI outputs.
D.IM-05,Step 6: Provide for or Cooperate in Remediation,Requires investigation into AI failures to prevent recurrence. This ensures that remediation is an operational correction as recommended by the OECD rather than just a legal settlement.
