control_id,parent_id,domain,title,objective,requirement_count
V.AD-01,V.AD,VALIDATE,External Audit: AI Audit,"Obtain independent assurance over AI governance and risk controls, including lifecycle evidence and operational safeguards.",6
V.AD-02,V.AD,VALIDATE,External Audit: Security Audit,"Gain independent validation of ISMS and cybersecurity posture (e.g., certification or attestation) to enhance trust and demonstrate control effectiveness.",4
V.CI-01,V.CI,VALIDATE,Reporting Channels,"Provide safe, accessible, and responsive channels for employees, customers, and users to report risks, incidents, or ethical concerns.",6
V.CI-02,V.CI,VALIDATE,Internal Audit: AI Audit,"Independently assess AI governance, risk, and control effectiveness—including TEVV evidence, fairness/robustness outcomes, and data governance.",6
V.CI-03,V.CI,VALIDATE,Internal Audit: Security Audit,"Independently assess ISMS control design and operating effectiveness across technology, process, and organizational domains.",6
V.IA,,VALIDATE,Internal Audit,"Provide independent assurance on the adequacy and effectiveness of security, privacy, and AI governance controls.",5
V.TE-01,V.TE,VALIDATE,Testing,"Plan and execute comprehensive functional, security, reliability, and safety tests for systems and AI components to discover defects early and reduce production risk.",8
V.TE-02,V.TE,VALIDATE,Evaluation,"Evaluate model/system performance, safety, and harms across contexts to ensure effectiveness and acceptable risk in realistic operating conditions.",8
V.TE-03,V.TE,VALIDATE,Verification,"Verify that implemented systems meet stated requirements, policies, and constraints, and that controls operate as designed.",8
V.TE-04,V.TE,VALIDATE,Validation,"Confirm the system, as built and operated, achieves its intended use for target users and contexts without introducing unacceptable risk.",7
